name,display_name
business_context,Business Context
terminology,Terminology
logical_data_area,Logical Data Area
codelist,Codelist
physical_data_area,Physical Data Area
technology_asset_area,Technology Asset Area
data_governance_taxonomies,Data Governance Taxonomies
